Name,Description,geometry,lat,lon
CC7,,POINT Z (-8.48569210096497 38.02226192128506 0),38.02226192128506,-8.48569210096497
CC7A,,POINT Z (-8.483329399325793 38.01763013451657 0),38.01763013451657,-8.483329399325793
CC8,,POINT Z (-8.468963081464508 38.00450879533242 0),38.00450879533242,-8.468963081464508
CC9,,POINT Z (-8.553382834281035 37.96736394374729 0),37.96736394374729,-8.553382834281035
CC9A,,POINT Z (-8.554436279533874 37.97518470526234 0),37.97518470526234,-8.554436279533874
CC10,,POINT Z (-8.603421116402973 37.95630471100404 0),37.95630471100404,-8.603421116402973
CC10A,,POINT Z (-8.602042559334325 37.95521247645402 0),37.95521247645402,-8.602042559334325
CC11,,POINT Z (-8.553699569075466 37.91402554716538 0),37.91402554716538,-8.553699569075466
CC11A,,POINT Z (-8.554609972717989 37.9133139984581 0),37.9133139984581,-8.554609972717989
CC12,,POINT Z (-8.490660002927845 37.91388626082713 0),37.91388626082713,-8.490660002927845
CC12A,,POINT Z (-8.492225883055047 37.91539923520968 0),37.91539923520968,-8.492225883055047
CC12B,,POINT Z (-8.487888330012444 37.91982553252197 0),37.91982553252197,-8.487888330012444
CC13,,POINT Z (-8.454488619825728 37.93034579997906 0),37.93034579997906,-8.454488619825728
CC13A,,POINT Z (-8.391895971138176 37.93243055423412 0),37.93243055423412,-8.391895971138176
CC13B,,POINT Z (-8.384687167634663 37.94050776896853 0),37.94050776896853,-8.384687167634663
CC14,,POINT Z (-8.430178870994377 38.00632851810663 0),38.00632851810663,-8.430178870994377
CC15,,POINT Z (-8.423298731200132 38.02142114108114 0),38.02142114108114,-8.423298731200132
CC15A,,POINT Z (-8.425243972281105 38.02425620433373 0),38.02425620433373,-8.425243972281105
CC15B,,POINT Z (-8.431834443003073 38.03067138410017 0),38.03067138410017,-8.431834443003073
CC16,,POINT Z (-8.420333749698843 38.07071425305205 0),38.07071425305205,-8.420333749698843
CC17,,POINT Z (-8.424307820756155 38.07526428535664 0),38.07526428535664,-8.424307820756155
CC17A,,POINT Z (-8.426057317861302 38.07610566144665 0),38.07610566144665,-8.426057317861302
CC18,,POINT Z (-8.418297231401365 38.11296265739114 0),38.11296265739114,-8.418297231401365
CC19,,POINT Z (-8.360914636555435 38.11414472636623 0),38.11414472636623,-8.360914636555435
