Name,Description,geometry,lat,lon
CC1,,POINT Z (-8.756425210878247 37.9194486987799 0),37.9194486987799,-8.756425210878247
CC2,,POINT Z (-8.771045495671697 37.93852820829938 0),37.93852820829938,-8.771045495671697
CC2A,,POINT Z (-8.7813318118605 37.94243752563266 0),37.94243752563266,-8.7813318118605
CC3,,POINT Z (-8.779985455667317 37.98554132894246 0),37.98554132894246,-8.779985455667317
CC3A,,POINT Z (-8.78680495472447 37.98391885242317 0),37.98391885242317,-8.78680495472447
CC4,,POINT Z (-8.753505351563994 38.00959877352803 0),38.00959877352803,-8.753505351563994
CC5,,POINT Z (-8.688505234058413 38.25421105301881 0),38.25421105301881,-8.688505234058413
CC5A,,POINT Z (-8.678437186618353 38.26170596657219 0),38.26170596657219,-8.678437186618353
CC5B,,POINT Z (-8.642626673272076 38.27097529890204 0),38.27097529890204,-8.642626673272076
CC6,,POINT Z (-8.604013227340754 38.22873618586451 0),38.22873618586451,-8.604013227340754
